classification,visual_type,attribute_key,theme_style_variants,theme_values,theme_pointers,catalog_count,catalog_style_variants,catalog_dominant_value,catalog_sample_value,catalog_sample_source,match_status
only_in_theme,*,background.transparency,*,100,/visualStyles/*/*/background/0/transparency,0,,,,,n/a
only_in_theme,*,border.show,*,false,/visualStyles/*/*/border/0/show,0,,,,,n/a
only_in_theme,*,categoryAxis.axisType,*,Categorical,/visualStyles/*/*/categoryAxis/0/axisType,0,,,,,n/a
only_in_theme,*,categoryAxis.fontSize,*,12,/visualStyles/*/*/categoryAxis/0/fontSize,0,,,,,n/a
only_in_theme,*,categoryAxis.labelColor.solid.color,*,#4B4C4A,/visualStyles/*/*/categoryAxis/0/labelColor/solid/color,0,,,,,n/a
only_in_theme,*,categoryAxis.labelPrecision,*,0,/visualStyles/*/*/categoryAxis/0/labelPrecision,0,,,,,n/a
only_in_theme,*,categoryAxis.maxMarginFactor,*,35,/visualStyles/*/*/categoryAxis/0/maxMarginFactor,0,,,,,n/a
only_in_theme,*,categoryAxis.show,*,true,/visualStyles/*/*/categoryAxis/0/show,0,,,,,n/a
only_in_theme,*,categoryAxis.showAxisTitle,*,false,/visualStyles/*/*/categoryAxis/0/showAxisTitle,0,,,,,n/a
only_in_theme,*,categoryLabels.color.solid.color,*,#4B4C4A,/visualStyles/*/*/categoryLabels/0/color/solid/color,0,,,,,n/a
only_in_theme,*,categoryLabels.fontFamily,*,Segoe UI Semibold,/visualStyles/*/*/categoryLabels/0/fontFamily,0,,,,,n/a
only_in_theme,*,categoryLabels.fontSize,*,12,/visualStyles/*/*/categoryLabels/0/fontSize,0,,,,,n/a
only_in_theme,*,categoryLabels.show,*,true,/visualStyles/*/*/categoryLabels/0/show,0,,,,,n/a
only_in_theme,*,columnHeaders.alignment,*,Left,/visualStyles/*/*/columnHeaders/0/alignment,0,,,,,n/a
only_in_theme,*,columnHeaders.fontColor.solid.color,*,#2E2E2E,/visualStyles/*/*/columnHeaders/0/fontColor/solid/color,0,,,,,n/a
only_in_theme,*,columnHeaders.fontFamily,*,Segoe UI Semibold,/visualStyles/*/*/columnHeaders/0/fontFamily,0,,,,,n/a
only_in_theme,*,columnHeaders.fontSize,*,10,/visualStyles/*/*/columnHeaders/0/fontSize,0,,,,,n/a
only_in_theme,*,dataPoint.fill.solid.color,*,#0C2340,/visualStyles/*/*/dataPoint/0/fill/solid/color,0,,,,,n/a
only_in_theme,*,divider.show,*,false,/visualStyles/*/*/divider/0/show,0,,,,,n/a
