report_path,page_id,visual_id,visual_type,style_variant,attribute_family,attribute_key,attribute_name,attribute_value,value_type,source_path
/themes/samples/spend_cube_report,02604e232e37ce8027cd,08c60e9651021e4efedd,slicer,Style 1,data,data.mode,mode,Dropdown,string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/08c60e9651021e4efedd/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,08c60e9651021e4efedd,slicer,Style 1,header,header.show,show,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/08c60e9651021e4efedd/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,08c60e9651021e4efedd,slicer,Style 1,selection,selection.selectAllCheckboxEnabled,selectAllCheckboxEnabled,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/08c60e9651021e4efedd/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,08c60e9651021e4efedd,slicer,Style 1,selection,selection.singleSelect,singleSelect,false,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/08c60e9651021e4efedd/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,08c60e9651021e4efedd,slicer,Style 1,visualHeader,visualHeader.show,show,false,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/08c60e9651021e4efedd/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,background,background.show,show,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,background,background.transparency,transparency,0,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,columnHeaders,columnHeaders.alignment,alignment,Center,string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,columnHeaders,columnHeaders.backColor.solid.color,color,"ThemeDataColor(ColorId=3,Percent=0)",string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,columnHeaders,columnHeaders.fontColor.solid.color,color,"ThemeDataColor(ColorId=0,Percent=0)",string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,columnHeaders,columnHeaders.fontFamily,fontFamily,"''Segoe UI Semibold'', wf_segoe-ui_semibold, helvetica, arial, sans-serif",string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,columnHeaders,columnHeaders.fontSize,fontSize,12,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,values,values.fontFamily,fontFamily,Calibri,string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,0a85bca3e40364b2d41a,tableEx,Style 1,values,values.fontSize,fontSize,12,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/0a85bca3e40364b2d41a/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,111e917238e703a0c373,slicer,Style 1,data,data.mode,mode,Dropdown,string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/111e917238e703a0c373/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,111e917238e703a0c373,slicer,Style 1,header,header.show,show,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/111e917238e703a0c373/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,111e917238e703a0c373,slicer,Style 1,selection,selection.selectAllCheckboxEnabled,selectAllCheckboxEnabled,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/111e917238e703a0c373/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,111e917238e703a0c373,slicer,Style 1,selection,selection.singleSelect,singleSelect,false,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/111e917238e703a0c373/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,111e917238e703a0c373,slicer,Style 1,visualHeader,visualHeader.show,show,false,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/111e917238e703a0c373/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,background,background.show,show,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,background,background.transparency,transparency,0,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,columnHeaders,columnHeaders.alignment,alignment,Center,string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,columnHeaders,columnHeaders.backColor.solid.color,color,"ThemeDataColor(ColorId=3,Percent=0)",string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,columnHeaders,columnHeaders.fontColor.solid.color,color,"ThemeDataColor(ColorId=0,Percent=0)",string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,columnHeaders,columnHeaders.fontFamily,fontFamily,"''Segoe UI Semibold'', wf_segoe-ui_semibold, helvetica, arial, sans-serif",string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,columnHeaders,columnHeaders.fontSize,fontSize,12,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,values,values.fontFamily,fontFamily,Calibri,string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,12f8292beb7997d79c2b,tableEx,Style 1,values,values.fontSize,fontSize,12,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/12f8292beb7997d79c2b/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,fill,fill.show,show,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,fill[id=default],fill[id=default].fillColor.solid.color,color,"ThemeDataColor(ColorId=0,Percent=0)",string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,fill[id=default],fill[id=default].transparency,transparency,0,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,icon,icon.show,show,false,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,outline,outline.show,show,false,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,outline[id=default],outline[id=default].weight,weight,1,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,20c4f4b196f0952a45c0,actionButton,Style 2,text,text.show,show,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,2fc236f7d460d541ff95,slicer,Style 1,data,data.mode,mode,Dropdown,string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/2fc236f7d460d541ff95/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,2fc236f7d460d541ff95,slicer,Style 1,header,header.show,show,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/2fc236f7d460d541ff95/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,2fc236f7d460d541ff95,slicer,Style 1,selection,selection.selectAllCheckboxEnabled,selectAllCheckboxEnabled,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/2fc236f7d460d541ff95/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,2fc236f7d460d541ff95,slicer,Style 1,selection,selection.singleSelect,singleSelect,false,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/2fc236f7d460d541ff95/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,2fc236f7d460d541ff95,slicer,Style 1,visualHeader,visualHeader.show,show,false,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/2fc236f7d460d541ff95/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,39f30bda89ed23307ac0,image,Style 1,imageScaling,imageScaling.imageScalingType,imageScalingType,Normal,string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/39f30bda89ed23307ac0/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,59cc9da5c4d0f55695a5,advancedSlicerVisual,Style 1,accentBar[id=default],accentBar[id=default].color.solid.color,color,"ThemeDataColor(ColorId=2,Percent=0)",string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,59cc9da5c4d0f55695a5,advancedSlicerVisual,Style 1,accentBar[id=default],accentBar[id=default].position,position,Bottom,string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,59cc9da5c4d0f55695a5,advancedSlicerVisual,Style 1,accentBar[id=default],accentBar[id=default].show,show,true,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,59cc9da5c4d0f55695a5,advancedSlicerVisual,Style 1,accentBar[id=interaction:press],accentBar[id=interaction:press].width,width,3,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,59cc9da5c4d0f55695a5,advancedSlicerVisual,Style 1,accentBar[id=selection:selected],accentBar[id=selection:selected].transparency,transparency,0,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,59cc9da5c4d0f55695a5,advancedSlicerVisual,Style 1,fillCustom[id=default],fillCustom[id=default].show,show,false,boolean,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,59cc9da5c4d0f55695a5,advancedSlicerVisual,Style 1,fillCustom[id=interaction:hover],fillCustom[id=interaction:hover].fillColor.solid.color,color,"ThemeDataColor(ColorId=3,Percent=-0.25)",string,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json
/themes/samples/spend_cube_report,02604e232e37ce8027cd,59cc9da5c4d0f55695a5,advancedSlicerVisual,Style 1,fillCustom[id=interaction:hover],fillCustom[id=interaction:hover].transparency,transparency,25,integer,themes/samples/spend_cube_report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json
