visual_type,style_variant,display_name,attribute_key,attribute_family,source,count,example_value
pivotTable,Style 1,Matrix - Style 1,background.show,background,catalog,1,false
pivotTable,Style 1,Matrix - Style 1,background.transparency,background,catalog,1,0
pivotTable,Style 1,Matrix - Style 1,columnHeaders.alignment,columnHeaders,catalog,1,Center
pivotTable,Style 1,Matrix - Style 1,columnHeaders.backColor.solid.color,columnHeaders,catalog,1,"ThemeDataColor(ColorId=2,Percent=0)"
pivotTable,Style 1,Matrix - Style 1,columnHeaders.fontColor.solid.color,columnHeaders,catalog,1,"ThemeDataColor(ColorId=0,Percent=0)"
pivotTable,Style 1,Matrix - Style 1,columnHeaders.fontFamily,columnHeaders,catalog,1,"''Segoe UI Semibold'', wf_segoe-ui_semibold, helvetica, arial, sans-serif"
pivotTable,Style 1,Matrix - Style 1,columnHeaders.fontSize,columnHeaders,catalog,1,12
pivotTable,Style 1,Matrix - Style 1,columnHeaders.titleAlignment,columnHeaders,catalog,1,Center
pivotTable,Style 1,Matrix - Style 1,grid.gridHorizontalColor.solid.color,grid,catalog,1,#D5D5D4
pivotTable,Style 1,Matrix - Style 1,rowHeaders.alignment,rowHeaders,catalog,1,Left
pivotTable,Style 1,Matrix - Style 1,rowHeaders.fontFamily,rowHeaders,catalog,1,Calibri
pivotTable,Style 1,Matrix - Style 1,rowHeaders.fontSize,rowHeaders,catalog,1,12
pivotTable,Style 1,Matrix - Style 1,stylePreset.name,stylePreset,catalog,1,None
pivotTable,Style 1,Matrix - Style 1,title.fontColor.solid.color,title,catalog,1,#2E2E2E
pivotTable,Style 1,Matrix - Style 1,title.show,title,catalog,1,false
pivotTable,Style 1,Matrix - Style 1,values.fontColorPrimary.solid.color,values,catalog,1,#2E2E2E
pivotTable,Style 1,Matrix - Style 1,values.fontColorSecondary.solid.color,values,catalog,1,#2E2E2E
pivotTable,Style 1,Matrix - Style 1,values.fontFamily,values,catalog,1,Calibri
pivotTable,Style 1,Matrix - Style 1,values.fontSize,values,catalog,1,12
pivotTable,Style 2,Matrix - Style 2,background.show,background,catalog,1,false
pivotTable,Style 2,Matrix - Style 2,background.transparency,background,catalog,1,0
pivotTable,Style 2,Matrix - Style 2,columnHeaders.alignment,columnHeaders,catalog,1,Center
pivotTable,Style 2,Matrix - Style 2,columnHeaders.backColor.solid.color,columnHeaders,catalog,1,"ThemeDataColor(ColorId=2,Percent=0)"
pivotTable,Style 2,Matrix - Style 2,columnHeaders.fontColor.solid.color,columnHeaders,catalog,1,"ThemeDataColor(ColorId=0,Percent=0)"
pivotTable,Style 2,Matrix - Style 2,columnHeaders.fontFamily,columnHeaders,catalog,1,"''Segoe UI Semibold'', wf_segoe-ui_semibold, helvetica, arial, sans-serif"
pivotTable,Style 2,Matrix - Style 2,columnHeaders.fontSize,columnHeaders,catalog,1,12
pivotTable,Style 2,Matrix - Style 2,columnHeaders.titleAlignment,columnHeaders,catalog,1,Center
pivotTable,Style 2,Matrix - Style 2,grid.gridHorizontalColor.solid.color,grid,catalog,1,#D5D5D4
pivotTable,Style 2,Matrix - Style 2,rowHeaders.showExpandCollapseButtons,rowHeaders,catalog,1,false
pivotTable,Style 2,Matrix - Style 2,stylePreset.name,stylePreset,catalog,1,None
pivotTable,Style 2,Matrix - Style 2,subTotals.perRowLevel,subTotals,catalog,1,true
pivotTable,Style 2,Matrix - Style 2,subTotals[id=Column].applyToHeaders,subTotals[id=Column],catalog,1,true
pivotTable,Style 2,Matrix - Style 2,subTotals[id=Column].backColor.solid.color,subTotals[id=Column],catalog,1,"ThemeDataColor(ColorId=5,Percent=0)"
pivotTable,Style 2,Matrix - Style 2,title.fontColor.solid.color,title,catalog,1,#2E2E2E
pivotTable,Style 2,Matrix - Style 2,title.show,title,catalog,1,false
pivotTable,Style 2,Matrix - Style 2,values.fontColorPrimary.solid.color,values,catalog,1,#2E2E2E
pivotTable,Style 2,Matrix - Style 2,values.fontColorSecondary.solid.color,values,catalog,1,#2E2E2E
pivotTable,Style 2,Matrix - Style 2,values.fontFamily,values,catalog,1,Calibri
pivotTable,Style 2,Matrix - Style 2,values.fontSize,values,catalog,1,12
pivotTable,Style 3,Matrix - Style 3,background.show,background,catalog,1,false
pivotTable,Style 3,Matrix - Style 3,background.transparency,background,catalog,1,0
pivotTable,Style 3,Matrix - Style 3,columnHeaders.alignment,columnHeaders,catalog,1,Center
pivotTable,Style 3,Matrix - Style 3,columnHeaders.backColor.solid.color,columnHeaders,catalog,1,"ThemeDataColor(ColorId=2,Percent=0)"
pivotTable,Style 3,Matrix - Style 3,columnHeaders.fontColor.solid.color,columnHeaders,catalog,1,"ThemeDataColor(ColorId=0,Percent=0)"
